5.745239,0.000000,-2.552540
5.613837,0.563263,-2.590110
5.198144,1.607974,-2.658156
4.605219,2.515843,-2.717100
4.253404,2.909910,-2.743292
3.463125,3.565767,-2.789375
2.590660,4.034715,-2.827397
2.136196,4.197112,-2.843511
1.215456,4.378197,-2.870193
0.310162,4.373728,-2.889801
-0.125780,4.305778,-2.897072
-0.944754,4.049463,-2.906779
-1.670861,3.650897,-2.910345
-2.282248,3.135405,-2.908128
-2.539725,2.842495,-2.904960
-2.951213,2.204622,-2.894720
-3.219817,1.522097,-2.879554
-3.300078,1.173276,-2.870226
-3.354652,0.478194,-2.848281
-3.274526,-0.191474,-2.822212
-3.187478,-0.509186,-2.807727
-2.928618,-1.097018,-2.776043
-2.571331,-1.606395,-2.740983
-2.135223,-2.022962,-2.702831
-1.894196,-2.193141,-2.682682
-1.379860,-2.453088,-2.640406
-0.840796,-2.603376,-2.595710
-0.568745,-2.637457,-2.572535
-0.032532,-2.625758,-2.524683
0.477115,-2.513199,-2.475030
0.716446,-2.421957,-2.449601
1.154399,-2.176784,-2.397678
1.527129,-1.859342,-2.344517
1.824133,-1.484741,-2.290330
1.941815,-1.281074,-2.262914
2.112446,-0.851550,-2.207561
2.194985,-0.406648,-2.151668
2.203284,-0.183705,-2.123576
2.155713,0.252971,-2.067209
2.026988,0.664564,-2.010737
1.934449,0.856492,-1.982511
1.698800,1.204638,-1.926174
1.404875,1.496042,-1.870112
1.239881,1.617575,-1.842226
0.882193,1.807864,-1.786827
0.499385,1.923764,-1.732028
0.106058,1.962792,-1.677943
-0.089958,1.953445,-1.651202
-0.471681,1.878421,-1.598384
-0.828175,1.732028,-1.546530
-0.992910,1.634043,-1.520991
-1.288029,1.393689,-1.470738
-1.528864,1.102535,-1.421644
-1.626223,0.941459,-1.397551
-1.770663,0.596183,-1.350310
-1.844331,0.231334,-1.304368
-1.845046,-0.139051,-1.259767
-1.818105,-0.321873,-1.237980
-1.711229,-0.674024,-1.195449
-1.537767,-0.997028,-1.154323
-1.428188,-1.143678,-1.134291
-1.168857,-1.400246,-1.095291
-0.864833,-1.599854,-1.057709
-0.699799,-1.675819,-1.039445
-0.351931,-1.776471,-1.003964
0.007993,-1.805916,-0.969856
0.365559,-1.763244,-0.937089
0.538957,-1.715374,-0.921195
0.866273,-1.569157,-0.890359
1.156777,-1.361102,-0.860744
1.284510,-1.236535,-0.846375
1.498562,-0.952876,-0.818471
1.650581,-0.633318,-0.791615
1.701388,-0.464232,-0.778554
1.750275,-0.116338,-0.753108
1.727970,0.232292,-0.728483
1.690508,0.402299,-0.716444
1.565408,0.724817,-0.692847
1.378783,1.012976,-0.669787
1.139407,1.254981,-0.647137
1.003318,1.355562,-0.635924
0.706139,1.511025,-0.613631
0.387028,1.601167,-0.591389
0.223727,1.620811,-0.580239
-0.101239,1.609116,-0.557777
-0.412085,1.531589,-0.534954
-0.557944,1.469664,-0.523352
-0.822771,1.304116,-0.499649
-1.042831,1.090989,-0.475120
-1.209575,0.841733,-0.449563
-1.271045,0.707575,-0.436334
-1.348047,0.428791,-0.408838
-1.363298,0.147761,-0.379772
-1.348339,0.010737,-0.364578
-1.276115,-0.248119,-0.332718
-1.153411,-0.476864,-0.298692
-1.075956,-0.576720,-0.280788
-0.895671,-0.742302,-0.243034
-0.691812,-0.857676,-0.202462
-0.477497,-0.919971,-0.158797
